pmid,title,journal,pub_date,impact,topic,subtopic,diabetes_subtype,study_type,board_relevant,is_new,is_archived
42175714,"Glucocorticoids in pregnancy: A master-switch for fetal maturation.","Endocrine reviews","2026 May 23",LOW,Adrenal,"","",Other,0,1,0
40105472,"Clinical and Molecular Landscape of Weiss-Kruszka Syndrome: A Case Report and Literature Review.","Journal of clinical research in pediatric endocrinology","2026 May 22",MODERATE,Growth,"","",Review,1,1,0
40045579,"A Novel SRD5A2 Loss-of-Function Variant in a Chinese Child with 5α-reductase Type 2 Deficiency.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Diabetes,General,T2D,Other,0,1,0
39311599,"Hereditary Pheochromocytoma as a Major Manifestation of von Hippel Lindau Disease (vHL) in Childhood: Long-term Follow-up of Five Patients with vHL from One Family.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Adrenal,"","",Other,0,1,0
39415662,"Unraveling a Genetic Puzzle: Could MAP3K7 Be a Candidate Gene for RASopathies?","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Growth,"","",Other,0,1,0
40099975,"Thauvin-Robinet-Faivre Syndrome: A FIBP Variant in an Adolescent with Segmental Overgrowth and Thyroid Carcinoma.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Growth,"","",Other,0,1,0
38912718,"A Rare Presentation of 17α-Hydroxylase/17,20-Lyase Deficiency in a Patient with Non-Hodgkin’s Lymphoma: A Case Report.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Puberty,"","",Other,0,1,0
39462987,"A Rare Coexistence of Turner Syndrome and Mycosis Fungoides: A Case Report.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Growth,"","",Other,0,1,0
39710984,"Permanent Neonatal Diabetes with High Insulin Requirements due to a New Variant in the INS Gene.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Diabetes,General,MODY/Monogenic,Other,0,1,0
39012089,"Autosomal Recessive Hypophosphatemic Rickets Type 2 Associated with a Novel ENPP1 Variant in a Taiwanese Girl.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Bone/Calcium,"","",Other,0,1,0
40103355,"Xp21 Contiguous Gene Deletion Syndrome: Diagnosis, Treatment, and a Review of the Literature on a Rare Genetic Disorder.","Journal of clinical research in pediatric endocrinology","2026 May 22",MODERATE,Adrenal,"","",Review,1,1,0
42170892,"APPROACH TO THE PATIENT: Genetics and Management of Congenital Hypothyroidism.","The Journal of clinical endocrinology and metabolism","2026 May 22",LOW,Pituitary,"","",Other,0,1,0
39387353,"Gonadoblastoma with Dysgerminoma in a Virilized Adolescent with Karyotype 46,XX: A Case Report and Review of the Literature.","Journal of clinical research in pediatric endocrinology","2026 May 22",MODERATE,DSD,"","",Review,1,1,0
39311760,"A Rare Cause of Proportional Short Stature and Puberty Precocity: Floating-Harbor Syndrome.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Growth,"","",Other,0,1,0
39723761,"A Rare Cause of Neonatal Salt Wasting Syndrome: Clinical Management of a Case Diagnosed with Pseudohypoaldosteronism due to a Novel Homozygous Variant in the SCNN1B Gene.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Adrenal,"","",Other,0,1,0
39851060,"Cabergoline Induced Pathological Gambling in an Adolescent with Prolactinoma.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Pituitary,"","",Other,0,1,0
40338032,"Atypical Presentation of New Onset Diabetes with Hyperglycemic Hyperosmolar State in Two Toddlers.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,Diabetes,General,T1D,Other,0,1,0
42171631,"Anorexia Nervosa Emerging After Swyer Syndrome Diagnosis.","Journal of clinical research in pediatric endocrinology","2026 May 22",LOW,"General Endocrinology","","",Other,0,1,0
42165353,"Glycemic Concordance of Simplera Sync™ and Instinct™ Sensors in MiniMed™ 780G System Users: A Randomized Crossover Feasibility Study.","Diabetes technology & therapeutics","2026 May 21",HIGH,Diabetes,Technology,T1D,RCT,1,1,0
42153511,"Nine-year cinacalcet monotherapy in a child with neonatal severe hyperparathyroidism caused by compound heterozygous CASR mutations.","Journal of pediatric endocrinology & metabolism : JPEM","2026 May 20",LOW,Bone/Calcium,"","",Other,0,1,0
42153771,"Clinical course of Graves' orbitopathy in children with newly diagnosed hyperthyroidism: a prospective observational study.","Journal of pediatric endocrinology & metabolism : JPEM","2026 May 20",LOW,Thyroid,"","","Prospective Study",0,1,0
42161884,"Fibrous Dysplasia in Hospitalized Patients in France: Prevalence and Associated Manifestations from a Health Database.","The Journal of clinical endocrinology and metabolism","2026 May 20",MODERATE,Thyroid,"","",Observational/Cohort,0,1,0
42163449,"Response to: Quiros et al.: Baseline Glycemic Control and AID Efficacy in Type 1 Diabetes and Pregnancy.","Diabetes technology & therapeutics","2026 May 20",LOW,Diabetes,General,T1D,Letter/Correspondence,0,1,1
42161334,"Continuous subcutaneous recombinant PTH(1-34) infusion improves serum calcium and phosphate homeostasis in children with autosomal dominant hypocalcemia type 1 refractory to standard-of-care treatment.","European journal of endocrinology","2026 May 20",MODERATE,Bone/Calcium,"",T1D,"Prospective Study",0,1,0
42159169,"Glycemic Outcomes and Device Engagement Over 18 Months Following Initiation of Two Different Automated Insulin Delivery Systems in American Youth With Type 1 Diabetes.","Diabetes technology & therapeutics","2026 May 20",MODERATE,Diabetes,Technology,T1D,"Real-World Study",0,1,0
41396850,"Causal Effect of Type 1 Diabetes on Juvenile Idiopathic Arthritis and the Mediating Role of CD8+ Natural Killer T Cells.","The Journal of clinical endocrinology and metabolism","2026 May 19",LOW,Diabetes,General,T1D,Other,0,1,0
41420533,"Effects of Growth Hormone (GH) Deficiency and GH Replacement Therapy on Health-Related Physical Fitness in Children.","The Journal of clinical endocrinology and metabolism","2026 May 19",LOW,Growth,"","",Other,0,1,0
41498210,"Radiological Surveillance for Pituitary Adenomas in Multiple Endocrine Neoplasia Type 1: A Longitudinal Cohort Study.","The Journal of clinical endocrinology and metabolism","2026 May 19",MODERATE,"General Endocrinology","","",Observational/Cohort,0,1,0
41389002,"Nocturnal melatonin secretion and risk of type 2 diabetes: a prospective cohort study.","The Journal of clinical endocrinology and metabolism","2026 May 19",MODERATE,Diabetes,General,T2D,Observational/Cohort,0,1,0
41402995,"Lifestyle intervention before and during fertility treatment in women with obesity or with overweight and PCOS-a RCT.","The Journal of clinical endocrinology and metabolism","2026 May 19",HIGH,PCOS,"","",RCT,0,1,0
42148757,"Fresh frozen plasma as functional replacement therapy in early infantile ApoC-II deficiency: a molecularly confirmed case series.","Journal of pediatric endocrinology & metabolism : JPEM","2026 May 19",LOW,Genetics,"","","Case Series",0,1,0
42148688,"Associations of personal solar UV exposure with gut microbiota diversity and BMI among preschool children in China.","Journal of pediatric endocrinology & metabolism : JPEM","2026 May 19",LOW,Obesity/Metabolic,"","",Cross-Sectional,0,1,0
42148554,"Beyond A1c: a narrative review of mental health integration in pediatric type 1 diabetes care.","Journal of pediatric endocrinology & metabolism : JPEM","2026 May 19",MODERATE,Diabetes,General,T1D,Review,0,1,0
42156235,"Growth Patterns and Bone Maturation in Children with Sex Chromosomal (45,X/46,XY) DSD.","European journal of endocrinology","2026 May 19",MODERATE,Growth,"","",Observational/Cohort,0,1,0
42149805,"Clinical Presentation and Outcomes of Insulinomas in Pediatric Patients.","Hormone research in paediatrics","2026 May 18",LOW,Growth,"","",Observational/Cohort,0,1,0
42149794,"Outcomes of phentermine-topiramate in children living with Duchenne muscular dystrophy.","Hormone research in paediatrics","2026 May 18",LOW,Obesity/Metabolic,"","","Prospective Study",0,1,0
42144862,"Navepegritide Combined with Lonapegsomatropin for the Treatment of Children with Achondroplasia: 52-Week Results from the Phase 2 COACH Trial.","European journal of endocrinology","2026 May 18",LOW,Growth,"","","Prospective Study",0,1,0
42144695,"Challenges in Diagnosing Central Adrenal Insufficiency in Children: Cortisol-Stimulating Tests are Safe and Often Required.","Clinical endocrinology","2026 May 17",MODERATE,Pituitary,"","",Observational/Cohort,0,1,0
42144818,"Growth Hormone Treatment Response and Machine Learning-Based Prediction in Idiopathic GHD and ISS: Analysis of the Korean LG Growth Study.","Clinical endocrinology","2026 May 17",MODERATE,Growth,"","",Observational/Cohort,0,1,0
